id,info_metric,info_get_better,info_technique,info_was_taught,strata,treatment
508,Weight,2,,0.0,23.0,0.0
508,Touch,2,,0.0,23.0,0.0
508,Loom,2,,0.0,23.0,0.0
508,Sidda Tightness,2,,0.0,23.0,0.0
508,Inputs,2,,0.0,23.0,0.0
508,Loom Tightness,2,,0.0,23.0,0.0
508,Design Accuracy,2,,0.0,23.0,0.0
508,Sidda Packedness,2,,0.0,23.0,0.0
508,Design Ability,2,,0.0,23.0,0.0
508,Overall,2,,0.0,23.0,0.0
685,Packedness,1,,0.0,21.0,0.0
685,Corners,1,,0.0,21.0,0.0
685,Waviness,2,,0.0,21.0,0.0
685,Weight,2,,0.0,21.0,0.0
685,Touch,2,,0.0,21.0,0.0
685,Loom,2,,0.0,21.0,0.0
685,Sidda Tightness,1,,0.0,21.0,0.0
685,Inputs,2,,0.0,21.0,0.0
685,Loom Tightness,2,,0.0,21.0,0.0
685,Design Accuracy,1,,0.0,21.0,0.0
685,Sidda Packedness,1,,0.0,21.0,0.0
685,Design Ability,1,,0.0,21.0,0.0
685,Overall,1,,0.0,21.0,0.0
594,Packedness,1,,0.0,21.0,0.0
594,Corners,1,,0.0,21.0,0.0
594,Waviness,1,,0.0,21.0,0.0
594,Weight,1,,0.0,21.0,0.0
594,Touch,1,,0.0,21.0,0.0
594,Loom,2,,0.0,21.0,0.0
594,Sidda Tightness,1,,0.0,21.0,0.0
594,Inputs,2,,0.0,21.0,0.0
594,Loom Tightness,2,,0.0,21.0,0.0
594,Design Accuracy,1,,0.0,21.0,0.0
594,Sidda Packedness,2,,0.0,21.0,0.0
594,Design Ability,1,,0.0,21.0,0.0
594,Overall,1,,0.0,21.0,0.0
506,Packedness,2,,0.0,23.0,1.0
506,Corners,1,,0.0,23.0,1.0
506,Waviness,2,,0.0,23.0,1.0
506,Weight,1,1.0,1.0,23.0,1.0
506,Touch,1,,0.0,23.0,1.0
506,Loom,2,,0.0,23.0,1.0
506,Sidda Tightness,1,,0.0,23.0,1.0
506,Inputs,1,,0.0,23.0,1.0
506,Loom Tightness,1,,0.0,23.0,1.0
506,Design Accuracy,1,1.0,1.0,23.0,1.0
506,Sidda Packedness,1,,0.0,23.0,1.0
506,Design Ability,1,,0.0,23.0,1.0
506,Overall,1,,0.0,23.0,1.0
570,Packedness,2,,0.0,23.0,0.0
570,Corners,2,,0.0,23.0,0.0
570,Waviness,2,,0.0,23.0,0.0
570,Weight,2,,0.0,23.0,0.0
570,Touch,2,,0.0,23.0,0.0
570,Loom,2,,0.0,23.0,0.0
570,Sidda Tightness,2,,0.0,23.0,0.0
570,Inputs,2,,0.0,23.0,0.0
570,Loom Tightness,2,,0.0,23.0,0.0
570,Design Accuracy,2,,0.0,23.0,0.0
570,Sidda Packedness,2,,0.0,23.0,0.0
570,Design Ability,2,,0.0,23.0,0.0
570,Overall,2,,0.0,23.0,0.0
505,Packedness,1,1.0,1.0,22.0,1.0
