id,qual_sidda,qual_inputs,qual_packedness,qual_loom_tight,qual_size_accuracy,qual_design_accuracy,qual_finishing_time,qual_overall,date,datenum,m2,qual_date,qual_date_102,qual_date_103,qual_date_104,qual_date_105,qual_date_110,qual_date_201,qual_date_202,qual_date_203,produced102,produced103,produced104,produced105,produced110,produced201,produced202,produced203,weight1,weight2,weight_error,abs_weight_error
22.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,2014-01-10,19733.0,12.0,2011-07-25,19093.0,19254.0,19471.0,19784.0,19561.0,19533.0,19717.0,19900.0,,120.422104,424.9021,838.4021,532.9021,502.9021,718.4021,934.4021,2.5,2.4,-0.04,0.04
22.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,2013-11-15,19677.0,12.0,2011-07-25,19093.0,19254.0,19471.0,19784.0,19561.0,19533.0,19717.0,19900.0,,120.422104,424.9021,838.4021,532.9021,502.9021,718.4021,934.4021,2.5,2.3,-0.08,0.08
22.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,,2012-10-19,19285.0,10.0,2011-07-25,19093.0,19254.0,19471.0,19784.0,19561.0,19533.0,19717.0,19900.0,,120.422104,424.9021,838.4021,532.9021,502.9021,718.4021,934.4021,2.4,2.5,0.041666668,0.041666668
22.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,2012-12-21,19348.0,6.0,2011-07-25,19093.0,19254.0,19471.0,19784.0,19561.0,19533.0,19717.0,19900.0,,120.422104,424.9021,838.4021,532.9021,502.9021,718.4021,934.4021,2.5,2.4,-0.04,0.04
22.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,2013-12-13,19705.0,12.0,2011-07-25,19093.0,19254.0,19471.0,19784.0,19561.0,19533.0,19717.0,19900.0,,120.422104,424.9021,838.4021,532.9021,502.9021,718.4021,934.4021,2.5,2.3,-0.08,0.08
22.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,2013-02-09,19398.0,6.0,2011-07-25,19093.0,19254.0,19471.0,19784.0,19561.0,19533.0,19717.0,19900.0,,120.422104,424.9021,838.4021,532.9021,502.9021,718.4021,934.4021,2.5,2.4,-0.04,0.04
22.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,2013-11-01,19663.0,6.0,2011-07-25,19093.0,19254.0,19471.0,19784.0,19561.0,19533.0,19717.0,19900.0,,120.422104,424.9021,838.4021,532.9021,502.9021,718.4021,934.4021,2.5,2.4,-0.04,0.04
22.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,2014-04-25,19838.0,12.0,2011-07-25,19093.0,19254.0,19471.0,19784.0,19561.0,19533.0,19717.0,19900.0,,120.422104,424.9021,838.4021,532.9021,502.9021,718.4021,934.4021,2.5,2.4,-0.04,0.04
22.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,2013-09-13,19614.0,6.0,2011-07-25,19093.0,19254.0,19471.0,19784.0,19561.0,19533.0,19717.0,19900.0,,120.422104,424.9021,838.4021,532.9021,502.9021,718.4021,934.4021,2.5,2.4,-0.04,0.04
22.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,2013-10-25,19656.0,12.0,2011-07-25,19093.0,19254.0,19471.0,19784.0,19561.0,19533.0,19717.0,19900.0,,120.422104,424.9021,838.4021,532.9021,502.9021,718.4021,934.4021,2.5,2.4,-0.04,0.04
22.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,2014-03-28,19810.0,12.0,2011-07-25,19093.0,19254.0,19471.0,19784.0,19561.0,19533.0,19717.0,19900.0,,120.422104,424.9021,838.4021,532.9021,502.9021,718.4021,934.4021,2.5,2.4,-0.04,0.04
22.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,2014-02-21,19775.0,12.0,2011-07-25,19093.0,19254.0,19471.0,19784.0,19561.0,19533.0,19717.0,19900.0,,120.422104,424.9021,838.4021,532.9021,502.9021,718.4021,934.4021,2.5,2.4,-0.04,0.04
22.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,2014-03-21,19803.0,12.0,2011-07-25,19093.0,19254.0,19471.0,19784.0,19561.0,19533.0,19717.0,19900.0,,120.422104,424.9021,838.4021,532.9021,502.9021,718.4021,934.4021,2.5,2.4,-0.04,0.04
22.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,,2012-09-07,19243.0,24.48,2011-07-25,19093.0,19254.0,19471.0,19784.0,19561.0,19533.0,19717.0,19900.0,,120.422104,424.9021,838.4021,532.9021,502.9021,718.4021,934.4021,,,,
22.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,2013-02-16,19405.0,6.0,2011-07-25,19093.0,19254.0,19471.0,19784.0,19561.0,19533.0,19717.0,19900.0,,120.422104,424.9021,838.4021,532.9021,502.9021,718.4021,934.4021,2.5,2.4,-0.04,0.04
22.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,2012-11-16,19313.0,13.0,2011-07-25,19093.0,19254.0,19471.0,19784.0,19561.0,19533.0,19717.0,19900.0,,120.422104,424.9021,838.4021,532.9021,502.9021,718.4021,934.4021,2.5,2.4,-0.04,0.04
